    20000         0         0   179.437   429.318         0   3.71217   14.2831   17.9952   14.2831   61.8944
     7600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     6000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     5000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     4000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     3000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     2000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     1000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
      100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
        0       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
